sim_index,strategy,total_time_s,pit_stop_count,sc_laps
491,A,6135.8853508826505,2,48
492,A,6137.6997458585765,2,45
493,A,6168.146775700804,2,45
494,A,6137.515205767555,2,48
495,A,6156.380995979015,2,39
496,A,6149.73801966773,2,48
497,A,6141.340365183409,2,40
498,A,6145.625544295041,2,36
499,A,6135.886343536032,2,43
500,A,6135.027787033332,2,42
501,A,6137.359896188114,2,42
502,A,6143.1616803188435,2,46
503,A,6140.505109425377,2,38
504,A,6149.289770587332,2,39
505,A,6137.909978202555,2,42
506,A,6138.4058455947625,2,37
507,A,6154.017499486573,2,33
508,A,6151.9373667450955,2,40
509,A,6132.002708200933,2,42
510,A,6156.7902652954135,2,39
511,A,6137.484328939826,2,42
512,A,6136.763713452543,2,47
513,A,6148.8343575079425,2,45
514,A,6135.10424227994,2,48
515,A,6147.543903138566,2,43
516,A,6135.05755163021,2,42
517,A,6141.173645437092,2,36
518,A,6135.723966810937,2,46
519,A,6153.1951515804385,2,42
520,A,6138.948374370732,2,45
521,A,6146.210554072444,2,36
522,A,6154.3298487492075,2,42
523,A,6144.341773948301,2,46
524,A,6140.244561100938,2,39
525,A,6135.50516518728,2,39
526,A,6149.154075567769,2,33
527,A,6137.197531882988,2,42
528,A,6157.682577969136,2,33
529,A,6144.315654573588,2,39
530,A,6167.901725337965,2,34
531,A,6144.789903561333,2,45
532,A,6132.061146705395,2,43
533,A,6132.75296956017,2,48
534,A,6146.490426623881,2,44
535,A,6137.71889700776,2,37
536,A,6145.762117936617,2,45
537,A,6141.906348134664,2,42
538,A,6132.007451377628,2,45
539,A,6145.3360357824895,2,44
540,A,6139.2893089221,2,44
541,A,6139.053408978584,2,43
542,A,6134.160705636382,2,45
543,A,6134.256589857602,2,47
544,A,6137.930007666752,2,45
545,A,6146.402952460891,2,48
546,A,6134.401681404281,2,42
547,A,6160.4238784335175,2,36
548,A,6140.038991341691,2,43
549,A,6142.755196964043,2,36
550,A,6143.5082982248,2,52
551,A,6141.284435728035,2,39
552,A,6142.226836374589,2,54
553,A,6136.6804881270555,2,40
554,A,6134.814901167727,2,48
555,A,6134.448304780056,2,45
556,A,6139.6065099212055,2,44
557,A,6134.613355063561,2,47
558,A,6154.1123520521505,2,44
559,A,6161.668505822923,2,50
560,A,6168.3464389332785,2,51
561,A,6142.754344389002,2,48
562,A,6142.753798082614,2,52
563,A,6135.005120467012,2,44
564,A,6152.100309165803,2,32
565,A,6134.384893522755,2,42
566,A,6167.18268135225,2,36
567,A,6142.851785872256,2,42
568,A,6144.293469781544,2,41
569,A,6146.1027317715225,2,42
570,A,6144.36597201601,2,42
571,A,6140.091942643069,2,39
572,A,6140.090991924,2,42
573,A,6145.700712176447,2,45
574,A,6145.539540229371,2,39
575,A,6144.970743130662,2,48
576,A,6138.633874828616,2,45
577,A,6142.510790771339,2,41
578,A,6136.023368787912,2,42
579,A,6141.300810290333,2,53
580,A,6144.898462926098,2,36
581,A,6157.874589190309,2,39
582,A,6136.094250217677,2,39
583,A,6152.9044695975135,2,49
584,A,6139.14997062527,2,54
585,A,6134.14520074481,2,48
586,A,6151.122646210164,2,35
587,A,6137.6077044882795,2,39
588,A,6137.855564371409,2,50
589,A,6142.899538200914,2,48
590,A,6135.853554677416,2,40
591,A,6138.404416638408,2,45
592,A,6141.870258113714,2,51
593,A,6146.707438662829,2,48
594,A,6161.375244659337,2,45
595,A,6154.237332181145,2,43
596,A,6140.257247377471,2,42
597,A,6139.002768214309,2,48
598,A,6136.368301900817,2,44
599,A,6143.558765388316,2,44
600,A,6151.509049867477,2,46
601,A,6154.159979014293,2,36
602,A,6133.134932170169,2,42
603,A,6146.29551997138,2,40
604,A,6134.795977477846,2,45
605,A,6136.7061022964235,2,46
606,A,6139.5514014936125,2,39
607,A,6135.808786707645,2,50
608,A,6136.289212031871,2,45
609,A,6130.374824489534,2,45
610,A,6140.520868862861,2,42
611,A,6160.178173075749,2,43
612,A,6136.163355029975,2,42
613,A,6136.928068253644,2,42
614,A,6138.338518617576,2,50
615,A,6136.26513160056,2,45
616,A,6143.821708225978,2,46
617,A,6135.629254500214,2,45
618,A,6140.171531033772,2,48
619,A,6135.686634962754,2,46
620,A,6186.314410424144,2,38
621,A,6138.834944233825,2,38
622,A,6131.743553945497,2,43
623,A,6144.017866181824,2,42
624,A,6144.462474259637,2,38
625,A,6138.371336846439,2,48
626,A,6132.385793937505,2,45
627,A,6147.870409650931,2,54
628,A,6159.135366413817,2,41
629,A,6135.2328957674035,2,47
630,A,6143.222007381612,2,39
631,A,6134.87002549175,2,42
632,A,6147.972680922312,2,45
633,A,6143.921467655066,2,54
634,A,6169.564800931039,2,36
635,A,6142.376391534156,2,46
636,A,6170.929167753508,2,37
637,A,6163.4936404010605,2,54
638,A,6142.671524432203,2,43
639,A,6156.117914601192,2,34
640,A,6137.205541633613,2,45
641,A,6139.736965428544,2,47
642,A,6145.475951528022,2,42
643,A,6153.840791717791,2,36
644,A,6151.365104763768,2,48
645,A,6139.42106180327,2,48
646,A,6136.480948341192,2,48
647,A,6131.236059715368,2,47
648,A,6139.748049401974,2,51
649,A,6138.6407933964565,2,48
650,A,6146.0483021539585,2,38
651,A,6136.169254963323,2,52
652,A,6156.527621228489,2,44
653,A,6157.17453404363,2,30
654,A,6136.57715171877,2,48
655,A,6139.93855759881,2,42
656,A,6138.540239545156,2,50
657,A,6142.819647772364,2,39
658,A,6145.43475958211,2,37
659,A,6158.698258830442,2,37
660,A,6133.392283185377,2,43
661,A,6143.098230419627,2,36
662,A,6152.014651339512,2,33
663,A,6138.156853584576,2,40
664,A,6148.858008599953,2,47
665,A,6178.741112902888,2,34
666,A,6139.86474804044,2,45
667,A,6138.900283814834,2,49
668,A,6142.841068927529,2,51
669,A,6137.074492754033,2,39
670,A,6139.843881342295,2,42
671,A,6150.028869445588,2,34
672,A,6148.108827064341,2,42
673,A,6153.406573156597,2,36
674,A,6135.514175956076,2,45
675,A,6165.853151744945,2,37
676,A,6134.148155247864,2,46
677,A,6166.065668787165,2,42
678,A,6160.730989009413,2,48
679,A,6151.665044887215,2,40
680,A,6156.310084816726,2,39
681,A,6146.406149826496,2,43
682,A,6143.7994883000865,2,55
683,A,6144.977865506643,2,54
684,A,6143.600804532461,2,42
685,A,6143.03243385967,2,39
686,A,6137.032868067806,2,40
687,A,6139.61533037537,2,48
688,A,6162.010816125205,2,42
689,A,6136.009537176015,2,45
690,A,6135.591087411893,2,42
691,A,6142.04974669902,2,37
692,A,6143.854882174153,2,48
693,A,6135.306158060923,2,39
694,A,6131.975243484245,2,42
695,A,6140.190362476815,2,51
696,A,6135.800504596561,2,45
697,A,6152.887842188999,2,52
698,A,6143.58039235474,2,55
699,A,6142.963310035419,2,36
700,A,6141.981716951483,2,50
701,A,6135.497991012139,2,44
702,A,6156.34437250841,2,39
703,A,6140.3334512464935,2,42
704,A,6132.316377928332,2,45
705,A,6149.526157400218,2,39
706,A,6170.509668610045,2,27
707,A,6186.513117860326,2,30
708,A,6136.924160914746,2,48
709,A,6154.114271184383,2,48
710,A,6147.238434053663,2,39
711,A,6139.85909144425,2,49
712,A,6154.35620049593,2,31
713,A,6138.21536316343,2,43
714,A,6160.472766120211,2,36
715,A,6138.825447636254,2,43
716,A,6174.088114850505,2,43
717,A,6132.510930308446,2,44
718,A,6135.308658413387,2,47
719,A,6136.138600193488,2,42
720,A,6132.128372490625,2,42
721,A,6146.551222339595,2,50
722,A,6144.539273031412,2,47
723,A,6148.365787075066,2,33
724,A,6141.142507345359,2,48
725,A,6129.912993217912,2,43
726,A,6141.693582613192,2,53
727,A,6141.310345453306,2,54
728,A,6138.620965545212,2,45
729,A,6143.156327747819,2,39
730,A,6136.717962776112,2,39
731,A,6133.295087674553,2,42
732,A,6142.905153097441,2,43
733,A,6153.753583244955,2,57
734,A,6144.317739767855,2,53
735,A,6138.13995630146,2,45
736,A,6143.0238550475815,2,54
737,A,6153.035158727101,2,48
738,A,6139.531085814098,2,47
739,A,6138.456226065618,2,49
740,A,6137.746960020941,2,44
741,A,6157.136090667526,2,31
742,A,6182.2977817383235,2,48
743,A,6134.903483577797,2,45
744,A,6137.340129492738,2,45
745,A,6139.858945459812,2,51
746,A,6153.339812566813,2,57
747,A,6138.40242763986,2,48
748,A,6151.191538655477,2,54
749,A,6174.492178925077,2,30
750,A,6147.987707101499,2,33
751,A,6138.367446733031,2,39
752,A,6133.286706345757,2,45
753,A,6138.081925116247,2,51
754,A,6146.389890309064,2,41
755,A,6141.075151082101,2,54
756,A,6162.156774343977,2,33
757,A,6137.922108441898,2,42
758,A,6198.605258564202,2,46
759,A,6155.897247636777,2,36
760,A,6149.829519473014,2,46
761,A,6149.292139636463,2,33
762,A,6138.392530105235,2,45
763,A,6139.667230211056,2,38
764,A,6148.931334620821,2,45
765,A,6151.924244166051,2,34
766,A,6133.023232164165,2,46
767,A,6144.271829704773,2,46
768,A,6159.690527470762,2,33
769,A,6143.671782687049,2,43
770,A,6141.13591859612,2,49
771,A,6139.12013696047,2,43
772,A,6141.937684985846,2,47
773,A,6134.858986366748,2,47
774,A,6137.083595392333,2,39
775,A,6135.204552303388,2,48
776,A,6135.416222513789,2,45
777,A,6137.598322783352,2,47
778,A,6162.173654422589,2,30
779,A,6154.441542789684,2,36
780,A,6139.069498544167,2,48
781,A,6160.8767537662925,2,36
782,A,6158.421305870796,2,36
783,A,6144.673066995504,2,45
784,A,6141.173514091639,2,45
785,A,6133.431766507049,2,50
786,A,6202.830659164322,2,36
787,A,6138.589540903201,2,42
788,A,6151.533491615403,2,47
789,A,6141.333423241473,2,52
790,A,6146.324315304781,2,40
791,A,6139.511505749932,2,48
792,A,6155.931271860817,2,36
793,A,6138.785950009247,2,43
794,A,6139.9797828673745,2,42
795,A,6155.523643874764,2,33
796,A,6139.125138028359,2,43
797,A,6138.750300416482,2,48
798,A,6147.251610733406,2,57
799,A,6137.580648764329,2,51
800,A,6148.775525808757,2,42
801,A,6135.856785230724,2,46
802,A,6136.974478739726,2,46
803,A,6169.481998080072,2,33
804,A,6144.704547786523,2,41
805,A,6135.003965821774,2,42
806,A,6148.810587735826,2,42
807,A,6140.422231138069,2,36
808,A,6158.770302813806,2,39
809,A,6130.808897369168,2,41
810,A,6139.786687793407,2,41
811,A,6133.320104187207,2,44
812,A,6135.360551181074,2,39
813,A,6132.245399334457,2,42
814,A,6152.057294843099,2,56
815,A,6139.199582902397,2,51
